 distance[ft],uprime[ft/s],vprime[ft/s],wprime[ft/s],pprime[rad/s]
   0.0000000000000000      ,  0.74935898393765887      ,  0.67188584657245864      , -0.26920611738543881      ,  -1.1894506106488718E-002
   20.000000000000000      ,  0.57577707398827549      ,  0.58466985250611114      ,  0.52070905535748213      ,   2.2482594571064936E-003
   40.000000000000000      ,  0.98276811308845724      , -0.46403819773797395      ,   1.1852954780641403      ,  -5.2812019703433986E-002
   60.000000000000000      ,   1.0082590921986534      , -0.59292364744536941      ,  0.61155669178743688      ,  -5.0074171503768541E-002
   80.000000000000000      ,   1.1885943332911131      ,  -3.6137512178565721E-002 , -0.72102517518573550      ,  -7.2296818905102783E-002
   100.00000000000000      ,   1.8640649131444829      , -0.58661233499118615      ,  -1.1214865109859882      ,  -7.5486392554999726E-002
   120.00000000000000      ,   1.6025914272183426      , -0.18200044826094877      ,  -1.8289738858351572      ,   3.9797832920530803E-002
   140.00000000000000      ,  0.26284277374722825      , -0.89534422986496565      ,  -2.3000717267074777      ,   4.8058719534380900E-002
   160.00000000000000      , -0.65839663126259729      ,  0.25614434489767957      ,  -3.4672699927559845      ,   8.2450462512364597E-002
   180.00000000000000      , -0.46957639385245609      ,   2.0882347791987854      ,  -5.1657343488443104      ,   1.1757256832399423E-002
   200.00000000000000      ,  0.86022798121981847      ,   1.4027823450634733      ,  -2.9456999885157691      ,  -7.9699615933937814E-003
   220.00000000000000      ,   1.2372807045338838      ,   1.5830580015100886      ,  -3.6742258972914041      ,  -5.0075880378738787E-002
   240.00000000000000      ,   1.5604582106860880      ,   2.7841004942014829      ,  -4.8725164130943144      ,  -3.6909299038947824E-002
   260.00000000000000      ,   2.0023054887369502      ,   2.4151127673162374      ,  -4.7873059973950696      ,   2.1548251689501717E-002
   280.00000000000000      ,   2.4428515712425729      ,   1.5203921963731013      ,  -3.2588400866156855      ,  -2.3868531714781399E-002
   300.00000000000000      ,   2.6117859776272776      ,   2.6988064714210340      ,  -2.3819669487985951      ,   5.0423715506078493E-002
   320.00000000000000      ,   2.4139791973351676      ,   2.2725354455872955      ,  -2.0171544662655063      ,   3.5853405752472381E-002
   340.00000000000000      ,   1.4770779413012354      ,   2.0826384763152790      ,  -2.4299204306558604      ,   7.3951098659233383E-002
   360.00000000000000      ,   1.7791676002820822      ,   1.1898800423252247      ,  -2.8490174419147460      ,  -1.8768435939772152E-002
   380.00000000000000      ,   1.5078208871444687      ,   1.5401105180228891      ,  -1.3840573269758454      ,  -5.1033988360523135E-002
   400.00000000000000      ,   1.8469476720124529      ,   2.6814037298487507      , -0.78962917671558175      ,  -1.1251083278500620E-002
   420.00000000000000      ,   2.0848414395543386      ,   2.8751979365487954      ,  -1.5828257468582152      ,  -4.4241386397265150E-003
   440.00000000000000      ,   2.1350923415270366      ,   3.3636639990278145      ,  -2.3040409838143927      ,   3.9315779847344141E-002
   460.00000000000000      ,   1.6348810255031925      ,   1.5439676945743439      ,  0.31031840219189416      ,   2.4033121035353173E-002
   480.00000000000000      ,  0.90615536617399439      ,   1.8613726288240939      ,   1.1231714958150911      ,   9.4814455388925693E-003
   500.00000000000000      ,  0.67225891236106006      ,   1.5434135960382500      ,   2.4425467743227949      ,  -1.4233050974460267E-002
   520.00000000000000      ,   1.7051858297313276      ,  0.64120345266227230      ,   3.5783504715141459      ,   5.8447099894707609E-002
   540.00000000000000      ,   2.2018396706598691      ,  0.12759861660492283      ,   4.6750198987495990      ,   1.4563470996708327E-002
   560.00000000000000      ,   2.2463846103423881      ,  -1.2550161560754095E-002 ,   4.2120842706713235      ,   7.0446042835279055E-002
   580.00000000000000      ,   2.8070352281095667      ,  0.77084877620125836      ,   4.5234125562845078      ,   3.9828450795925278E-002
   600.00000000000000      ,   3.1286900898959962      , -0.31826253959344158      ,   6.0917421102904505      ,   4.4320005440620175E-002
   620.00000000000000      ,   3.8645024964303771      , -0.64147256822373477      ,   5.6459184873068544      ,   3.6220168576518011E-002
   640.00000000000000      ,   4.4423806326048192      , -0.58943515221155351      ,   5.9595712485666574      ,   4.5008878340501331E-002
   660.00000000000000      ,   3.6984807058481457      ,  -2.2338217397972966      ,   6.9110098080755114      ,   3.3322610270473188E-002
   680.00000000000000      ,   3.3718926483665830      ,  -1.3133291925079067      ,   6.4467025895207772      ,   1.1059617068067634E-002
   700.00000000000000      ,   3.2638172672663872      , -0.90757955168455706      ,   5.9821807202408159      ,  -1.0379234655402745E-002
   720.00000000000000      ,   4.0111945763185677      ,  -1.7493200807635070      ,   6.2910683678616870      ,  -5.8839202071124065E-002
   740.00000000000000      ,   5.4825734331594518      ,  -3.8219467095633043E-002 ,   7.3067392581227066      , -0.13677062992485065     
   760.00000000000000      ,   5.4636319433883855      , -0.33250180071926377      ,   7.3349162467422966      ,  -2.2681453134967541E-002
   780.00000000000000      ,   5.1089827635508120      , -0.59257446343922282      ,   8.4939499187933158      ,   2.4822365524114615E-002
   800.00000000000000      ,   4.2035251829617000      ,  -2.1357473822011328      ,   8.2705867106544044      ,  -7.3754476246142417E-003
   820.00000000000000      ,   3.3344332815403166      ,  -2.0301119634366627      ,   5.6929055573633862      ,   4.6561925206823999E-003
   840.00000000000000      ,   2.5335312289829495      ,  -3.5612041856444447      ,   5.7846653095455975      ,  -1.6592159714779706E-002
   860.00000000000000      ,   3.1202708705213671      ,  -3.2528023827739316      ,   5.3264549371545087      ,   5.4854180935424136E-002
   880.00000000000000      ,   4.0160110414522725      ,  -4.8522815415526050      ,   4.5801840321074554      ,  -2.8018069924527840E-003
   900.00000000000000      ,   4.0045497088970663      ,  -4.9468753582565235      ,   4.3688545349607102      ,  -3.7713985566365953E-002
   920.00000000000000      ,   4.9371283526024010      ,  -4.3592108285348630      ,   5.3835556056453902      ,  -6.6395526980475364E-002
   940.00000000000000      ,   5.4108874646385630      ,  -2.0640638634971840      ,   4.7657583644927630      ,  -6.1184286068958593E-002
   960.00000000000000      ,   4.5427206291610585      ,  -2.4475371634343546      ,   3.5820169828944524      ,  -7.2333138280173863E-003
   980.00000000000000      ,   4.1747333641867748      ,  -2.4546104722258404      ,   2.4897504235463486      ,  -3.6936168685888178E-002
   1000.0000000000000      ,   4.5735798288534948      , -0.91601184790268531      ,   3.1229009860481893      ,  -2.7154691425477846E-003
   1020.0000000000000      ,   5.1238662573550116      , -0.83410666039580150      ,   3.3443670593679506      ,   9.3479680789191402E-002
   1040.0000000000000      ,   5.1310460911385940      , -0.77372571460347705      ,   2.7995308096657325      ,   1.5364286460201991E-002
   1060.0000000000000      ,   3.4238861948877282      ,   1.9048791796125089      ,   3.8112026868361881      ,  -4.2198337341434453E-002
   1080.0000000000000      ,   3.2703744842567719      ,  0.27640911772357429      ,   2.5401889469443146      ,  -3.9557364085536582E-002
   1100.0000000000000      ,   4.8731950012868790      ,   2.2817529982869487      ,   3.4008257594964508      ,  -5.8632323843346539E-003
   1120.0000000000000      ,   5.9976319320175993      ,  0.98745556160205272      ,   4.4662880293160452      ,  -7.4434226287756533E-002
   1140.0000000000000      ,   6.3645747514913786      ,   1.7382577138653876      ,   5.8082751646764343      ,  -3.8539087482669217E-002
   1160.0000000000000      ,   6.8072765376758904      ,   1.8189473585799176      ,   6.1405994913245463      ,  -8.0175234600103531E-003
   1180.0000000000000      ,   7.8838125153141991      ,   1.3628614568355082      ,   6.6074959355073828      ,  -2.3883390940071043E-002
   1200.0000000000000      ,   7.8392308718909707      ,   2.5146936595168525      ,   7.2257047359580264      ,  -3.1015950141101496E-003
   1220.0000000000000      ,   6.2822406748651165      ,   2.8433352832623666      ,   6.4706173141056302      ,  -8.0939827208870177E-002
   1240.0000000000000      ,   6.5456021014196883      ,   3.9427764776380481      ,   5.4306973052828216      ,   1.7801539060887842E-002
   1260.0000000000000      ,   6.0072409379515141      ,   4.7193000141999066      ,   3.8344943386450661      ,  -5.8904115660759558E-002
   1280.0000000000000      ,   6.1729216561612610      ,   4.8336125949044622      ,   5.2373357626209787      ,  -7.9426514136630977E-004
   1300.0000000000000      ,   5.7204373004938986      ,   3.8305451135142303      ,   4.3864889977903161      ,   4.2076045427855063E-002
   1320.0000000000000      ,   4.4452693441473849      ,   5.1453627777337694      ,   2.5716684132143017      ,   6.6864022640997320E-002
   1340.0000000000000      ,   4.3438112675071414      ,   6.5363232579906549      ,   2.0637670045746401      ,   3.0773336742594085E-002
   1360.0000000000000      ,   5.0116031653065249      ,   5.8447236144149795      ,   2.7908215277355768      ,   1.1739865048691471E-002
   1380.0000000000000      ,   5.1790033395901141      ,   6.4146056114354932      ,   2.0859538697302473      ,   6.5209597896902297E-003
   1400.0000000000000      ,   5.3363421328038001      ,   5.5002951639299145      ,   1.0263677825872115      ,  -5.5156306611871320E-002
   1420.0000000000000      ,   5.4313750481729510      ,   3.7019965624063658      ,   1.8203367982894332      ,  -1.1171487333927812E-002
   1440.0000000000000      ,   5.4466120704476735      ,   2.1276504201719115      ,  0.66401085009981231      ,   9.1722167945944635E-003
   1460.0000000000000      ,   5.7641115108284335      ,   2.4639366192628884      ,  -6.8982041035792391E-002 ,   2.0768828812132628E-002
   1480.0000000000000      ,   4.4469843944340512      ,   2.2328449515499145      ,   1.6116127321016833      ,   7.7495871620504503E-002
   1500.0000000000000      ,   2.9704331969460411      ,   2.2181416667703475      ,   2.3861916244227386      ,   6.1651502210824875E-002
   1520.0000000000000      ,   2.6992409337555587      ,   1.5064732877969393      ,   3.6103461101828045      ,   1.7611738471749142E-002
   1540.0000000000000      ,   2.7188773479645310      ,   1.2319620723938300      ,   3.7869324910067905      ,   2.0501141579247432E-003
   1560.0000000000000      ,   2.3753681137099627      ,  0.91334699932539742      ,   3.7219266033807470      ,   5.4786436743914334E-003
   1580.0000000000000      ,   1.9768007863633699      ,   1.2882093530323948      ,   4.0696819670259510      ,   3.4731536005270923E-002
   1600.0000000000000      ,   1.8813088357352301      ,   2.3630976621029616      ,   4.1524785190232940      ,   2.2410352554935759E-002
   1620.0000000000000      ,   2.2192854581066794      ,   1.4158919517844186      ,   4.0195449121941751      ,  -3.8427694169590192E-003
   1640.0000000000000      ,  0.92226549025322402      , -0.10056307968352922      ,   4.7272668921563525      ,   1.0995631428021398E-002
