 t[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],x[ft],y[ft],z[ft],e0,ex,ey,ez,aileron[deg],elevator[deg],rudder[deg],throttle,aileron_dot[rad/s],elevator_dot[rad/s],rudder_dot[rad/s],throttle_dot,longitude[deg], latitude[deg], azimuth[deg]
0.150000000000000,347.078869336400,0.141401818110140,45.0715858666519,0.145668112800706,-0.397336316331460E-1,0.720768148839913E-2,52.4998149621054,-0.117873603450942E-2,-1000.00863957581,0.997894508724191,0.295638197620505E-2,0.647904827402145E-1,-0.510882109339168E-4,-8.79166666666667,-2.20640587913180,-0.826601341632004E-1,0.686508321170307E-1,-1.39626340159546,0.715798653886267,-0.442316316041273E-1,-0.189118778561662E-1,0.143999078094972E-3,-0.323309524784486E-8,0.162439134362916E-1
0.160000000000000,347.099254769382,0.181248878162983,44.9003824783879,0.171039939810359,-0.459665595517921E-1,0.854688817025423E-2,55.9997372102872,-0.147064281758259E-2,-1000.01062181337,0.997905710456742,0.374822176965322E-2,0.645766196961014E-1,-0.637182443772668E-4,-9.58859715380293,-1.83172641760129,-0.111041463941574,0.684568883878522E-1,-1.37876547015736,0.593413677229200,-0.540488113487818E-1,-0.198713431391180E-1,0.153598837204991E-3,-0.403375154858089E-8,0.206223132280894E-1
0.170000000000000,347.122131453835,0.227702386399598,44.7083046087049,0.198283327073372,-0.524389906007230E-1,0.100163970069951E-1,59.4996410516376,-0.180123343926703E-2,-1000.01282068778,0.997917680794687,0.467182786690210E-2,0.643309435981275E-1,-0.779583908900975E-4,-10.3579466813201,-1.52836771307896,-0.145263373974043,0.682535162596032E-1,-1.30139931910442,0.467824132438037,-0.645204136450504E-1,-0.207976879205511E-1,0.163198545826885E-3,-0.494051178691073E-8,0.257379605622108E-1
0.180000000000000,347.147542842033,0.281068117536723,44.4952549395858,0.227216664887719,-0.590777712425654E-1,0.116150917151608E-1,62.9995257932722,-0.217000122769239E-2,-1000.01521946960,0.997930045708075,0.573616183433746E-2,0.640524123976961E-1,-0.937364666667230E-4,-11.0688757707256,-1.29685171637713,-0.185645820638425,0.680410432397380E-1,-1.17768308929473,0.343418631737517,-0.754594381914424E-1,-0.216916492555066E-1,0.172798202060082E-3,-0.595198623824436E-8,0.316431270285121E-1
0.190000000000000,347.175505712350,0.341556200260698,44.2613527264780,0.257579067257236,-0.658110575183036E-1,0.133383380767307E-1,66.4993914656516,-0.257540633889372E-2,-1000.01779506290,0.997942316539355,0.694906928942562E-2,0.637403403905943E-1,-0.110918743539200E-3,-11.6987040262268,-1.13547227384273,-0.232396057492985,0.678197894735000E-1,-1.02079745784179,0.223605810265698,-0.866615997625824E-1,-0.225539625118344E-1,0.182397805988044E-3,-0.706395134268732E-8,0.383844278590478E-1
0.200000000000000,347.206009311097,0.409256502549032,44.0069128437281,0.289058060493903,-0.725701934907491E-1,0.151790579563049E-1,69.9992388564230,-0.301474212631922E-2,-1000.02051833981,0.997953888402451,0.831695013195479E-2,0.633943865302664E-1,-0.129303450517903E-3,-12.2335778869470,-1.04082094462051,-0.285595592669725,0.675900677501806E-1,-0.846444900578316,0.110939147868117,-0.978950044524424E-1,-0.233853634824792E-1,0.191997359771093E-3,-0.826898317674780E-8,0.460011330504625E-1
0.210000000000000,347.239015324622,0.484123949603295,43.7324233196697,0.321318181727196,-0.792911034977291E-1,0.171288479085849E-1,73.4990695030510,-0.348407615640123E-2,-1000.02335458026,0.997964042810208,0.984457059411537E-2,0.630145348339719E-1,-0.148618239299760E-3,-12.6685550908821,-1.00824271130117,-0.345183475391798,0.673521834934829E-1,-0.671911975378883,0.723630320659277E-2,-0.108897351543047,-0.241865894569557E-1,0.201596867626204E-3,-0.955629566794268E-8,0.545242693097541E-1
0.220000000000000,347.274458717403,0.565974386951202,43.4385223856272,0.354026150523106,-0.859152662039192E-1,0.191789540702871E-1,76.9988856501942,-0.397826407147453E-2,-1000.02626398396,0.997971954093496,0.115350157644111E-1,0.626010691175017E-1,-0.168521423091099E-3,-13.0035322948172,-1.03222527411357,-0.410940566667167,0.671064347460979E-1,-0.497379050179450,-0.863088194664935E-1,-0.119381753656037,-0.249583793126586E-1,0.211196335710093E-3,-0.109117786186956E-7,0.639765024701704E-1
0.230000000000000,347.312249460325,0.654490800071985,43.1259758622839,0.386855898658321,-0.923903359943024E-1,0.213203148590712E-1,80.4986901797973,-0.449100588889747E-2,-1000.02920222639,0.997976699386344,0.133897189327428E-1,0.621545439748398E-1,-0.188605726716581E-3,-13.2385094987522,-1.10672647331427,-0.482479099115854,0.668531121576055E-1,-0.322846124980017,-0.169022490127353,-0.129049016195848,-0.257014727623827E-1,0.220795771927478E-3,-0.123181521263418E-7,0.743724457323810E-1
0.240000000000000,347.352274961104,0.749232352343456,42.7956555216908,0.419488718492442,-0.986704740992931E-1,0.235433856650669E-1,83.9984865226118,-0.501491095014480E-2,-1000.03212103532,0.997977272384022,0.154084972598664E-1,0.616757536249379E-1,-0.208403301823296E-3,-13.3734867026873,-1.22544494326121,-0.559240381938515,0.665924989832426E-1,-0.148313199780584,-0.240656806335576,-0.137603526409729,-0.264166089372288E-1,0.230395185688390E-3,-0.137551447287014E-7,0.857189970376671E-1
