 time[s],latitude[deg],longitude[deg],azimuth[deg]
0.89000000,0.85446366E-3,-0.29619648E-4,358.92573
0.90000000,0.86408254E-3,-0.29882190E-4,358.91137
0.91000000,0.87370188E-3,-0.30143981E-4,358.89741
0.92000000,0.88332168E-3,-0.30405032E-4,358.88387
0.93000000,0.89294192E-3,-0.30665354E-4,358.87073
0.94000000,0.90256261E-3,-0.30924955E-4,358.85801
0.95000000,0.91218375E-3,-0.31183846E-4,358.84569
0.96000000,0.92180535E-3,-0.31442034E-4,358.83378
0.97000000,0.93142739E-3,-0.31699527E-4,358.82228
0.98000000,0.94104988E-3,-0.31956334E-4,358.81118
0.99000000,0.95067282E-3,-0.32212462E-4,358.80049
1.0000000,0.96029622E-3,-0.32467917E-4,358.79019
1.0100000,0.96992006E-3,-0.32722706E-4,358.78029
1.0200000,0.97954435E-3,-0.32976834E-4,358.77079
1.0300000,0.98916909E-3,-0.33230308E-4,358.76169
1.0400000,0.99879429E-3,-0.33483132E-4,358.75297
1.0500000,0.10084199E-2,-0.33735312E-4,358.74464
1.0600000,0.10180460E-2,-0.33986851E-4,358.73670
1.0700000,0.10276726E-2,-0.34237753E-4,358.72914
1.0800000,0.10372996E-2,-0.34488023E-4,358.72195
1.0900000,0.10469270E-2,-0.34737664E-4,358.71514
1.1000000,0.10565549E-2,-0.34986678E-4,358.70870
1.1100000,0.10661833E-2,-0.35235069E-4,358.70263
1.1200000,0.10758121E-2,-0.35482838E-4,358.69692
1.1300000,0.10854414E-2,-0.35729988E-4,358.69157
1.1400000,0.10950711E-2,-0.35976520E-4,358.68658
1.1500000,0.11047013E-2,-0.36222436E-4,358.68193
1.1600000,0.11143319E-2,-0.36467737E-4,358.67763
1.1700000,0.11239630E-2,-0.36712424E-4,358.67368
1.1800000,0.11335946E-2,-0.36956497E-4,358.67006
1.1900000,0.11432266E-2,-0.37199956E-4,358.66678
1.2000000,0.11528591E-2,-0.37442803E-4,358.66382
1.2100000,0.11624921E-2,-0.37685036E-4,358.66119
1.2200000,0.11721255E-2,-0.37926655E-4,358.65888
1.2300000,0.11817594E-2,-0.38167660E-4,358.65689
1.2400000,0.11913937E-2,-0.38408049E-4,358.65520
1.2500000,0.12010286E-2,-0.38647822E-4,358.65382
1.2600000,0.12106639E-2,-0.38886977E-4,358.65274
1.2700000,0.12202997E-2,-0.39125512E-4,358.65196
1.2800000,0.12299359E-2,-0.39363427E-4,358.65146
1.2900000,0.12395726E-2,-0.39600718E-4,358.65126
1.3000000,0.12492098E-2,-0.39837384E-4,358.65133
1.3100000,0.12588475E-2,-0.40073423E-4,358.65168
1.3200000,0.12684857E-2,-0.40308832E-4,358.65230
1.3300000,0.12781243E-2,-0.40543608E-4,358.65319
1.3400000,0.12877635E-2,-0.40777749E-4,358.65433
1.3500000,0.12974031E-2,-0.41011252E-4,358.65574
1.3600000,0.13070432E-2,-0.41244113E-4,358.65739
1.3700000,0.13166839E-2,-0.41476330E-4,358.65929
1.3800000,0.13263250E-2,-0.41707898E-4,358.66143
1.3900000,0.13359666E-2,-0.41938815E-4,358.66381
1.4000000,0.13456087E-2,-0.42169076E-4,358.66642
1.4100000,0.13552513E-2,-0.42398679E-4,358.66925
1.4200000,0.13648944E-2,-0.42627618E-4,358.67231
1.4300000,0.13745380E-2,-0.42855890E-4,358.67558
1.4400000,0.13841822E-2,-0.43083491E-4,358.67906
1.4500000,0.13938268E-2,-0.43310417E-4,358.68275
1.4600000,0.14034720E-2,-0.43536663E-4,358.68664
1.4700000,0.14131177E-2,-0.43762224E-4,358.69072
1.4800000,0.14227639E-2,-0.43987097E-4,358.69500
1.4900000,0.14324106E-2,-0.44211276E-4,358.69946
1.5000000,0.14420578E-2,-0.44434756E-4,358.70411
1.5100000,0.14517056E-2,-0.44657534E-4,358.70893
1.5200000,0.14613539E-2,-0.44879604E-4,358.71393
1.5300000,0.14710027E-2,-0.45100961E-4,358.71909
1.5400000,0.14806521E-2,-0.45321600E-4,358.72442
1.5500000,0.14903020E-2,-0.45541516E-4,358.72990
1.5600000,0.14999524E-2,-0.45760703E-4,358.73554
1.5700000,0.15096034E-2,-0.45979157E-4,358.74133
1.5800000,0.15192550E-2,-0.46196873E-4,358.74726
1.5900000,0.15289071E-2,-0.46413844E-4,358.75334
1.6000000,0.15385597E-2,-0.46630066E-4,358.75955
1.6100000,0.15482129E-2,-0.46845533E-4,358.76589
1.6200000,0.15578667E-2,-0.47060240E-4,358.77236
1.6300000,0.15675210E-2,-0.47274181E-4,358.77895
1.6400000,0.15771759E-2,-0.47487350E-4,358.78566
1.6500000,0.15868313E-2,-0.47699743E-4,358.79249
1.6600000,0.15964873E-2,-0.47911352E-4,358.79943
1.6700000,0.16061439E-2,-0.48122174E-4,358.80647
1.6800000,0.16158011E-2,-0.48332201E-4,358.81362
1.6900000,0.16254589E-2,-0.48541429E-4,358.82087
1.7000000,0.16351172E-2,-0.48749851E-4,358.82821
1.7100000,0.16447761E-2,-0.48957462E-4,358.83565
1.7200000,0.16544356E-2,-0.49164256E-4,358.84317
1.7300000,0.16640957E-2,-0.49370227E-4,358.85077
1.7400000,0.16737564E-2,-0.49575370E-4,358.85846
1.7500000,0.16834177E-2,-0.49779679E-4,358.86622
1.7600000,0.16930796E-2,-0.49983147E-4,358.87406
1.7700000,0.17027421E-2,-0.50185770E-4,358.88197
1.7800000,0.17124052E-2,-0.50387541E-4,358.88994
1.7900000,0.17220689E-2,-0.50588454E-4,358.89798
1.8000000,0.17317333E-2,-0.50788503E-4,358.90608
1.8100000,0.17413982E-2,-0.50987684E-4,358.91423
1.8200000,0.17510638E-2,-0.51185989E-4,358.92244
1.8300000,0.17607300E-2,-0.51383414E-4,358.93070
1.8400000,0.17703968E-2,-0.51579952E-4,358.93900
1.8500000,0.17800642E-2,-0.51775597E-4,358.94736
1.8600000,0.17897323E-2,-0.51970344E-4,358.95575
1.8700000,0.17994011E-2,-0.52164187E-4,358.96418
1.8800000,0.18090704E-2,-0.52357121E-4,358.97265
1.8900000,0.18187404E-2,-0.52549138E-4,358.98116
1.9000000,0.18284111E-2,-0.52740234E-4,358.98970
1.9100000,0.18380824E-2,-0.52930404E-4,358.99826
1.9200000,0.18477543E-2,-0.53119640E-4,359.00685
1.9300000,0.18574269E-2,-0.53307938E-4,359.01547
1.9400000,0.18671002E-2,-0.53495292E-4,359.02411
1.9500000,0.18767741E-2,-0.53681696E-4,359.03276
1.9600000,0.18864487E-2,-0.53867144E-4,359.04144
1.9700000,0.18961240E-2,-0.54051632E-4,359.05013
1.9800000,0.19057999E-2,-0.54235152E-4,359.05883
1.9900000,0.19154766E-2,-0.54417701E-4,359.06755
2.0000000,0.19251539E-2,-0.54599272E-4,359.07627
2.0100000,0.19348318E-2,-0.54779860E-4,359.08501
2.0200000,0.19445105E-2,-0.54959458E-4,359.09374
2.0300000,0.19541898E-2,-0.55138063E-4,359.10249
2.0400000,0.19638699E-2,-0.55315668E-4,359.11123
2.0500000,0.19735506E-2,-0.55492268E-4,359.11998
2.0600000,0.19832321E-2,-0.55667858E-4,359.12872
2.0700000,0.19929142E-2,-0.55842432E-4,359.13746
2.0800000,0.20025971E-2,-0.56015985E-4,359.14620
2.0900000,0.20122806E-2,-0.56188511E-4,359.15493
2.1000000,0.20219649E-2,-0.56360006E-4,359.16366
2.1100000,0.20316499E-2,-0.56530465E-4,359.17238
2.1200000,0.20413356E-2,-0.56699881E-4,359.18109
2.1300000,0.20510220E-2,-0.56868250E-4,359.18979
2.1400000,0.20607091E-2,-0.57035567E-4,359.19848
2.1500000,0.20703970E-2,-0.57201826E-4,359.20716
2.1600000,0.20800856E-2,-0.57367023E-4,359.21582
2.1700000,0.20897750E-2,-0.57531153E-4,359.22447
2.1800000,0.20994650E-2,-0.57694211E-4,359.23310
2.1900000,0.21091559E-2,-0.57856191E-4,359.24172
2.2000000,0.21188474E-2,-0.58017088E-4,359.25033
2.2100000,0.21285398E-2,-0.58176899E-4,359.25891
2.2200000,0.21382328E-2,-0.58335618E-4,359.26748
2.2300000,0.21479266E-2,-0.58493239E-4,359.27603
2.2400000,0.21576212E-2,-0.58649760E-4,359.28456
2.2500000,0.21673166E-2,-0.58805174E-4,359.29307
2.2600000,0.21770127E-2,-0.58959477E-4,359.30156
2.2700000,0.21867095E-2,-0.59112664E-4,359.31003
2.2800000,0.21964072E-2,-0.59264731E-4,359.31848
2.2900000,0.22061056E-2,-0.59415673E-4,359.32691
2.3000000,0.22158048E-2,-0.59565486E-4,359.33532
2.3100000,0.22255048E-2,-0.59714165E-4,359.34370
2.3200000,0.22352055E-2,-0.59861705E-4,359.35206
2.3300000,0.22449071E-2,-0.60008102E-4,359.36040
2.3400000,0.22546094E-2,-0.60153352E-4,359.36872
2.3500000,0.22643125E-2,-0.60297450E-4,359.37702
2.3600000,0.22740164E-2,-0.60440392E-4,359.38529
2.3700000,0.22837212E-2,-0.60582173E-4,359.39354
2.3800000,0.22934267E-2,-0.60722790E-4,359.40177
2.3900000,0.23031330E-2,-0.60862238E-4,359.40998
2.4000000,0.23128402E-2,-0.61000512E-4,359.41816
2.4100000,0.23225481E-2,-0.61137610E-4,359.42632
2.4200000,0.23322569E-2,-0.61273525E-4,359.43446
2.4300000,0.23419665E-2,-0.61408255E-4,359.44257
2.4400000,0.23516769E-2,-0.61541796E-4,359.45067
2.4500000,0.23613881E-2,-0.61674142E-4,359.45874
2.4600000,0.23711002E-2,-0.61805291E-4,359.46679
2.4700000,0.23808131E-2,-0.61935238E-4,359.47482
2.4800000,0.23905268E-2,-0.62063979E-4,359.48283
2.4900000,0.24002414E-2,-0.62191511E-4,359.49082
2.5000000,0.24099568E-2,-0.62317828E-4,359.49878
2.5100000,0.24196730E-2,-0.62442929E-4,359.50673
2.5200000,0.24293901E-2,-0.62566808E-4,359.51466
2.5300000,0.24391081E-2,-0.62689462E-4,359.52256
2.5400000,0.24488269E-2,-0.62810888E-4,359.53045
2.5500000,0.24585465E-2,-0.62931081E-4,359.53832
2.5600000,0.24682671E-2,-0.63050037E-4,359.54618
2.5700000,0.24779884E-2,-0.63167754E-4,359.55401
2.5800000,0.24877107E-2,-0.63284227E-4,359.56183
2.5900000,0.24974338E-2,-0.63399452E-4,359.56963
2.6000000,0.25071578E-2,-0.63513427E-4,359.57741
2.6100000,0.25168826E-2,-0.63626148E-4,359.58518
2.6200000,0.25266084E-2,-0.63737610E-4,359.59294
2.6300000,0.25363350E-2,-0.63847811E-4,359.60068
2.6400000,0.25460625E-2,-0.63956748E-4,359.60840
2.6500000,0.25557909E-2,-0.64064415E-4,359.61611
2.6600000,0.25655202E-2,-0.64170811E-4,359.62381
2.6700000,0.25752504E-2,-0.64275932E-4,359.63150
2.6800000,0.25849814E-2,-0.64379774E-4,359.63917
2.6900000,0.25947134E-2,-0.64482334E-4,359.64683
2.7000000,0.26044463E-2,-0.64583608E-4,359.65449
2.7100000,0.26141800E-2,-0.64683594E-4,359.66213
2.7200000,0.26239147E-2,-0.64782288E-4,359.66976
2.7300000,0.26336503E-2,-0.64879687E-4,359.67738
2.7400000,0.26433868E-2,-0.64975787E-4,359.68500
2.7500000,0.26531243E-2,-0.65070585E-4,359.69260
2.7600000,0.26628626E-2,-0.65164079E-4,359.70020
2.7700000,0.26726019E-2,-0.65256265E-4,359.70779
2.7800000,0.26823421E-2,-0.65347139E-4,359.71538
2.7900000,0.26920832E-2,-0.65436699E-4,359.72296
2.8000000,0.27018253E-2,-0.65524941E-4,359.73054
2.8100000,0.27115683E-2,-0.65611863E-4,359.73811
2.8200000,0.27213122E-2,-0.65697462E-4,359.74568
2.8300000,0.27310571E-2,-0.65781733E-4,359.75324
2.8400000,0.27408029E-2,-0.65864675E-4,359.76080
2.8500000,0.27505497E-2,-0.65946284E-4,359.76836
2.8600000,0.27602974E-2,-0.66026557E-4,359.77592
2.8700000,0.27700460E-2,-0.66105492E-4,359.78348
2.8800000,0.27797957E-2,-0.66183085E-4,359.79103
2.8900000,0.27895462E-2,-0.66259333E-4,359.79859
2.9000000,0.27992978E-2,-0.66334234E-4,359.80615
2.9100000,0.28090503E-2,-0.66407784E-4,359.81371
2.9200000,0.28188038E-2,-0.66479980E-4,359.82127
2.9300000,0.28285582E-2,-0.66550821E-4,359.82883
2.9400000,0.28383136E-2,-0.66620302E-4,359.83639
2.9500000,0.28480700E-2,-0.66688422E-4,359.84396
2.9600000,0.28578274E-2,-0.66755176E-4,359.85153
2.9700000,0.28675857E-2,-0.66820563E-4,359.85911
2.9800000,0.28773451E-2,-0.66884580E-4,359.86669
2.9900000,0.28871054E-2,-0.66947224E-4,359.87427
3.0000000,0.28968667E-2,-0.67008491E-4,359.88186
3.0100000,0.29066290E-2,-0.67068380E-4,359.88946
3.0200000,0.29163923E-2,-0.67126887E-4,359.89706
3.0300000,0.29261566E-2,-0.67184010E-4,359.90467
3.0400000,0.29359219E-2,-0.67239746E-4,359.91228
3.0500000,0.29456882E-2,-0.67294093E-4,359.91991
3.0600000,0.29554556E-2,-0.67347047E-4,359.92754
3.0700000,0.29652239E-2,-0.67398606E-4,359.93518
3.0800000,0.29749932E-2,-0.67448768E-4,359.94283
3.0900000,0.29847636E-2,-0.67497529E-4,359.95048
3.1000000,0.29945349E-2,-0.67544888E-4,359.95815
3.1100000,0.30043073E-2,-0.67590841E-4,359.96582
3.1200000,0.30140808E-2,-0.67635385E-4,359.97351
3.1300000,0.30238552E-2,-0.67678519E-4,359.98120
3.1400000,0.30336307E-2,-0.67720240E-4,359.98891
3.1500000,0.30434072E-2,-0.67760544E-4,359.99663
3.1600000,0.30531847E-2,-0.67799430E-4,0.43538616E-2
3.1700000,0.30629633E-2,-0.67836895E-4,0.12092040E-1
3.1800000,0.30727429E-2,-0.67872937E-4,0.19841528E-1
3.1900000,0.30825236E-2,-0.67907552E-4,0.27602535E-1
3.2000000,0.30923053E-2,-0.67940738E-4,0.35375259E-1
3.2100000,0.31020880E-2,-0.67972493E-4,0.43159887E-1
3.2200000,0.31118718E-2,-0.68002815E-4,0.50956590E-1
3.2300000,0.31216567E-2,-0.68031700E-4,0.58765529E-1
3.2400000,0.31314426E-2,-0.68059147E-4,0.66586852E-1
3.2500000,0.31412295E-2,-0.68085152E-4,0.74420694E-1
3.2600000,0.31510176E-2,-0.68109714E-4,0.82267180E-1
3.2700000,0.31608067E-2,-0.68132830E-4,0.90126420E-1
3.2800000,0.31705968E-2,-0.68154497E-4,0.97998513E-1
3.2900000,0.31803881E-2,-0.68174713E-4,0.10588355
3.3000000,0.31901804E-2,-0.68193476E-4,0.11378160
3.3100000,0.31999738E-2,-0.68210782E-4,0.12169273
3.3200000,0.32097682E-2,-0.68226631E-4,0.12961700
3.3300000,0.32195638E-2,-0.68241019E-4,0.13755444
3.3400000,0.32293604E-2,-0.68253944E-4,0.14550509
3.3500000,0.32391581E-2,-0.68265404E-4,0.15346896
3.3600000,0.32489569E-2,-0.68275395E-4,0.16144606
3.3700000,0.32587568E-2,-0.68283917E-4,0.16943639
3.3800000,0.32685577E-2,-0.68290966E-4,0.17743994
3.3900000,0.32783598E-2,-0.68296540E-4,0.18545669
3.4000000,0.32881630E-2,-0.68300637E-4,0.19348659
3.4100000,0.32979673E-2,-0.68303254E-4,0.20152961
3.4200000,0.33077726E-2,-0.68304390E-4,0.20958569
3.4300000,0.33175791E-2,-0.68304041E-4,0.21765477
3.4400000,0.33273867E-2,-0.68302206E-4,0.22573678
3.4500000,0.33371954E-2,-0.68298883E-4,0.23383164
3.4600000,0.33470052E-2,-0.68294068E-4,0.24193926
3.4700000,0.33568162E-2,-0.68287760E-4,0.25005954
3.4800000,0.33666282E-2,-0.68279956E-4,0.25819238
3.4900000,0.33764414E-2,-0.68270654E-4,0.26633765
3.5000000,0.33862557E-2,-0.68259853E-4,0.27449524
3.5100000,0.33960711E-2,-0.68247549E-4,0.28266502
3.5200000,0.34058877E-2,-0.68233740E-4,0.29084684
3.5300000,0.34157053E-2,-0.68218425E-4,0.29904057
3.5400000,0.34255241E-2,-0.68201601E-4,0.30724605
3.5500000,0.34353441E-2,-0.68183265E-4,0.31546312
3.5600000,0.34451652E-2,-0.68163416E-4,0.32369162
3.5700000,0.34549874E-2,-0.68142052E-4,0.33193138
3.5800000,0.34648108E-2,-0.68119169E-4,0.34018222
3.5900000,0.34746353E-2,-0.68094767E-4,0.34844395
3.6000000,0.34844610E-2,-0.68068843E-4,0.35671640
3.6100000,0.34942878E-2,-0.68041394E-4,0.36499936
3.6200000,0.35041158E-2,-0.68012419E-4,0.37329264
3.6300000,0.35139449E-2,-0.67981916E-4,0.38159604
3.6400000,0.35237752E-2,-0.67949882E-4,0.38990934
3.6500000,0.35336067E-2,-0.67916315E-4,0.39823235
3.6600000,0.35434393E-2,-0.67881213E-4,0.40656483
3.6700000,0.35532730E-2,-0.67844574E-4,0.41490657
3.6800000,0.35631080E-2,-0.67806396E-4,0.42325735
3.6900000,0.35729441E-2,-0.67766677E-4,0.43161695
3.7000000,0.35827814E-2,-0.67725415E-4,0.43998513
3.7100000,0.35926199E-2,-0.67682608E-4,0.44836167
3.7200000,0.36024595E-2,-0.67638253E-4,0.45674633
3.7300000,0.36123003E-2,-0.67592349E-4,0.46513887
3.7400000,0.36221423E-2,-0.67544894E-4,0.47353906
